Latitude,Longitude,Precipitation(mm),Surface Temp (K),Evaporation(mm)
-89.0,-178.75,534.9698632817308,226.41017150878906,-15.396752277865744
-89.0,-176.25,534.9698632817308,226.30653381347656,-15.39123225899175
-89.0,-173.75,534.9698632817308,226.20294189453125,-15.385711455849105
-89.0,-171.25,534.9698632817308,226.0993194580078,-15.380191885128625
-89.0,-168.75,534.9698632817308,225.9957275390625,-15.374671306062737
-89.0,-166.25,534.9698632817308,225.89215087890625,-15.369151063111985
-89.0,-163.75,534.9698632817308,225.78851318359375,-15.36363104423799
-89.0,-161.25,534.9698632817308,225.68492126464844,-15.358110353133725
-89.0,-158.75,534.9698632817308,225.58131408691406,-15.352590110182973
-89.0,-156.25,534.9698632817308,225.4777069091797,-15.347069867232221
-89.0,-153.75,534.9698632817308,225.3740997314453,-15.341549400204713
-89.0,-151.25,534.9698632817308,225.2705078125,-15.336029941522611
-89.0,-148.75,534.9698632817308,225.1668701171875,-15.33050880226483
-89.0,-146.25,534.9698632817308,225.06329345703125,-15.324988783390836
-89.0,-143.75,534.9698632817308,224.9596710205078,-15.319468540440084
-89.0,-141.25,534.9698632817308,224.8560791015625,-15.313948073412575
-89.0,-138.75,534.9698632817308,224.75245666503906,-15.30842816657696
-89.0,-136.25,534.9698632817308,224.6488494873047,-15.302907475472693
-89.0,-133.75,534.9698632817308,224.5452423095703,-15.29738734456032
-89.0,-131.25,534.9698632817308,224.44163513183594,-15.29186704559038
-89.0,-128.75,534.9698632817308,224.3380584716797,-15.286346830649222
-89.0,-126.25,534.9698632817308,224.2344207763672,-15.280827147890363
-89.0,-123.75,534.9698632817308,224.13084411621094,-15.27530576354863
-89.0,-121.25,534.9698632817308,224.0272216796875,-15.269786051029577
-89.0,-118.75,534.9698632817308,223.92359924316406,-15.26426583083662
-89.0,-116.25,534.9698632817308,223.82000732421875,-15.258745559876274
-89.0,-113.75,534.9698632817308,223.7164306640625,-15.253225512992685
-89.0,-111.25,534.9698632817308,223.61279296875,-15.247704877907609
-89.0,-108.75,534.9698632817308,223.5092010498047,-15.2421844108801
-89.0,-106.25,534.9698632817308,223.4055938720703,-15.236664279967727
-89.0,-103.75,534.9698632817308,223.3019561767578,-15.231144261093732
-89.0,-101.25,534.9698632817308,223.19837951660156,-15.225623850085412
-89.0,-98.75,539.434883071408,221.29689025878906,-26.009951953128052
-89.0,-96.25,539.434883071408,221.43443298339844,-25.328823565644143
-89.0,-93.75,539.434883071408,221.5719757080078,-24.647695122141045
-89.0,-91.25,539.434883071408,221.7095184326172,-23.96656687470511
-89.0,-88.75,539.434883071408,221.84706115722656,-23.285438823336335
-89.0,-86.25,539.434883071408,221.98460388183594,-22.604310547890805
-89.0,-83.75,539.434883071408,222.1221466064453,-21.923182272445274
-89.0,-81.25,539.434883071408,222.25970458984375,-21.242054193066906
-89.0,-78.75,539.434883071408,222.39723205566406,-20.560925721554213
-89.0,-76.25,539.434883071408,222.5347442626953,-19.879797474118277
-89.0,-73.75,539.434883071408,222.67230224609375,-19.198669538726733
-89.0,-71.25,539.434883071408,222.8098602294922,-18.51754111929438
-89.0,-68.75,539.434883071408,222.9473876953125,-17.836413179963984
-89.0,-66.25,539.434883071408,223.0849609375,-17.15528482048967
-89.0,-63.75,539.434883071408,223.2224884033203,-16.474156236938597
-89.0,-61.250000000000014,539.434883071408,223.36004638671875,-15.793028493675365
-89.0,-58.750000000000014,539.434883071408,223.49757385253906,-15.111899966143483
-89.0,-56.249999999999986,539.434883071408,223.6351318359375,-14.430771774726736
-89.0,-53.749999999999986,539.434883071408,223.7726593017578,-13.749643639329179
-89.0,-51.25,539.434883071408,223.91021728515625,-13.068515223835675
-89.0,-48.75,539.434883071408,224.04774475097656,-12.387386979900938
-89.0,-46.25,539.434883071408,224.185302734375,-11.706258728963803
-89.0,-43.75,539.434883071408,224.32281494140625,-11.02513025745111
-89.0,-41.25,539.434883071408,224.4603729248047,-10.344002178072742
-89.0,-38.75,539.434883071408,224.597900390625,-9.662873706560049
-89.0,-36.24999999999997,539.434883071408,224.7354736328125,-8.981745711210465
-89.0,-33.75,539.434883071408,224.8730010986328,-8.300617645836894
-89.0,-31.25,539.434883071408,225.0105438232422,-7.619488925739049
-89.0,-28.75,539.434883071408,225.14808654785156,-6.938360982907454
-89.0,-26.25,539.434883071408,225.28562927246094,-6.2572328335051
-89.0,-23.75,539.434883071408,225.42315673828125,-5.576103773790919
-89.0,-21.25,539.434883071408,225.5607147216797,-4.894976142566065
-89.0,-18.75,539.434883071408,225.6982879638672,-4.2138478951301295
-89.0,-16.25,539.434883071408,225.8358154296875,-3.5327202078860864
-89.0,-13.749999999999972,539.434883071408,225.97332763671875,-2.851591680354204
-89.0,-11.25,539.434883071408,226.11085510253906,-2.1704629287455646
-89.0,-8.75,1297.287889639847,226.6449432373047,-29.787282219814415
-89.0,-6.25,1297.287889639847,226.6935272216797,-29.924635445951253
-89.0,-3.75,1297.287889639847,226.7421112060547,-30.06198956839512
-89.0,-1.25,1297.287889639847,226.7906951904297,-30.199342850551147
-89.0,1.25,1297.287889639847,226.83929443359375,-30.336696300764743
-89.0,3.75,1297.287889639847,226.88787841796875,-30.474049975055095
-89.0,6.25,1297.287889639847,226.93646240234375,-30.611402977115176
-89.0,8.750000000000028,1297.287889639847,226.98504638671875,-30.7487557550985
-89.0,11.25,1297.287889639847,227.03363037109375,-30.88611032569588
-89.0,13.75,1297.287889639847,227.0822296142578,-31.023464056005423
-89.0,16.25,1297.287889639847,227.13079833984375,-31.160817226123072
-89.0,18.75,1297.287889639847,227.1793975830078,-31.298171460605317
-89.0,21.25,1297.287889639847,227.2279815673828,-31.4355244626654
-89.0,23.75,1297.287889639847,227.27659606933594,-31.57287813695575
-89.0,26.25,1297.287889639847,227.3251495361328,-31.710231811246103
-89.0,28.75,1297.287889639847,227.37376403808594,-31.847584813306185
-89.0,31.25000000000003,1297.287889639847,227.4223175048828,-31.984937815366266
-89.0,33.75,1297.287889639847,227.47093200683594,-32.122291713733375
-89.0,36.25,1297.287889639847,227.51953125,-32.25964538802373
-89.0,38.75,1297.287889639847,227.568115234375,-32.396998614160566
-89.0,41.25,1297.287889639847,227.61668395996094,-32.53435273660443
-89.0,43.75,1297.287889639847,227.66529846191406,-32.67170551458776
-89.0,46.25,1297.287889639847,227.7138671875,-32.80905974907
-89.0,48.75,1297.287889639847,227.762451171875,-32.94641364743711
-89.0,51.25000000000003,1297.287889639847,227.81105041503906,-33.083766425420436
-89.0,53.75000000000003,1297.287889639847,227.85963439941406,-33.22112009971079
-89.0,56.25,1297.287889639847,227.90821838378906,-33.358474222154655
-89.0,58.75,1297.287889639847,227.9568328857422,-33.49582700013798
-89.0,61.25,1297.287889639847,228.00538635253906,-33.633181122581846
-89.0,63.75,1297.287889639847,228.05401611328125,-33.77053457279544
-89.0,66.25,1297.287889639847,228.1025848388672,-33.90788757485552
-89.0,68.75,1297.287889639847,228.1511688232422,-34.04524147322263
-89.0,71.25,1297.287889639847,228.1997528076172,-34.18259469935947
-89.0,73.75,1297.287889639847,228.24835205078125,-34.319948261611444
-89.0,76.25,1297.287889639847,228.2969512939453,-34.45730171182504
-89.0,78.75,1297.287889639847,228.34552001953125,-34.59465561019215
-89.0,81.25,872.7138004051085,229.8670654296875,-8.274295125097808
-89.0,83.75,872.7138004051085,229.7845458984375,-8.823590451931596
-89.0,86.25000000000006,872.7138004051085,229.7020263671875,-9.372884995372033
-89.0,88.75,872.7138004051085,229.6194610595703,-9.922179755449179
-89.0,91.25,872.7138004051085,229.53697204589844,-10.471474739603082
-89.0,93.75,872.7138004051085,229.4544219970703,-11.020769947833742
-89.0,96.25,872.7138004051085,229.3719024658203,-11.570065408150754
-89.0,98.75,872.7138004051085,229.28936767578125,-12.119359916141548
-89.0,101.25,872.7138004051085,229.20684814453125,-12.668654676218694
-89.0,103.75,872.7138004051085,229.12432861328125,-13.21795010852611
-89.0,106.25,872.7138004051085,229.04180908203125,-13.767244700545689
-89.0,108.75,872.7138004051085,228.9592742919922,-14.316539908776349
-89.0,111.25,872.7138004051085,228.8767547607422,-14.865834668853495
-89.0,113.75,872.7138004051085,228.7942352294922,-15.415128924757937
-89.0,116.25,872.7138004051085,228.71168518066406,-15.964425309391572
-89.0,118.75,872.7138004051085,228.629150390625,-16.51372001344953
-89.0,121.25,872.7138004051085,228.54664611816406,-17.063015277699378
-89.0,123.75,872.7138004051085,228.46412658691406,-17.612310093795713
-89.0,126.25,872.7138004051085,228.381591796875,-18.161605021930427
-89.0,128.75,872.7138004051085,228.29905700683594,-18.710899613950005
-89.0,131.25,872.7138004051085,228.216552734375,-19.260194093931204
-89.0,133.75,872.7138004051085,228.134033203125,-19.80949047856484
-89.0,136.25,872.7138004051085,228.05149841308594,-20.358784734469282
-89.0,138.75,872.7138004051085,227.9689483642578,-20.908080334834267
-89.0,141.25,872.7138004051085,227.8864288330078,-21.457374926853845
-89.0,143.75,872.7138004051085,227.8039093017578,-22.00666974295018
-89.0,146.25,872.7138004051085,227.7213897705078,-22.555964783123272
-89.0,148.75,872.7138004051085,227.63885498046875,-23.105260495526636
-89.0,151.25,872.7138004051085,227.5563507080078,-23.6545546393927
-89.0,153.75,872.7138004051085,227.47381591796875,-24.20384990364255
-89.0,156.25,872.7138004051085,227.39129638671875,-24.753144719738884
-89.0,158.75,872.7138004051085,227.30877685546875,-25.302439759911977
-89.0,161.25,872.7138004051085,227.2262420654297,-25.851735248238583
-89.0,163.75,872.7138004051085,227.14373779296875,-26.401030288411675
-89.0,166.25,872.7138004051085,227.0612030029297,-26.950324880431253
-89.0,168.75,872.7138004051085,226.97865295410156,-27.499619920604346
-89.0,171.25,534.9698632817308,226.8245849609375,-15.4188340339374
-89.0,173.75000000000006,534.9698632817308,226.72096252441406,-15.413313118756378
-89.0,176.25,534.9698632817308,226.61737060546875,-15.407793099882383
-89.0,178.75,534.9698632817308,226.51377868652344,-15.402272520816496
-87.0,-178.75,503.0946057731853,228.48724365234375,-6.997230554588896
-87.0,-176.25,503.7507724300667,228.20582580566406,-6.981608707349096
-87.0,-173.75,504.4204562932464,227.92462158203125,-6.972672526273982
-87.0,-171.25,505.1036537774962,227.6436309814453,-6.970682052440225
-87.0,-168.75,505.8003648828162,227.3629150390625,-6.9758977750780105
-87.0,-166.25,506.5105976759696,227.08253479003906,-6.988582760300233
-87.0,-163.75,507.23433333450885,226.80247497558594,-7.0090084770981775
-87.0,-161.25,507.97158978457446,226.52281188964844,-7.037448299115567
-87.0,-158.75,508.72236971508755,226.2435760498047,-7.074181874145324
-87.0,-156.25,510.0191682354307,225.9871063232422,-7.263760445994194
-87.0,-153.75,513.3881093970558,225.82196044921875,-8.051659587636095
-87.0,-151.25,516.8289388639096,225.6696014404297,-8.928895555470717
-87.0,-148.75,520.1150083739776,225.5157470703125,-9.831368280117658
-87.0,-146.25,523.246287452821,225.3592071533203,-10.745333789600409
-87.0,-143.75,516.6378659241673,225.135009765625,-11.062575836376709
-87.0,-141.25,499.7523234715118,224.8428497314453,-10.80482919365977
-87.0,-138.75,481.9060169666045,224.57281494140625,-10.563404638048723
-87.0,-136.25,463.0991848271151,224.330322265625,-10.34205455891879
-87.0,-133.75,444.6924139519979,224.1197052001953,-10.172304315233305
-87.0,-131.25,438.69246120539174,223.976318359375,-10.2577491522311
-87.0,-128.75,435.9385937123079,223.8491973876953,-10.414236292660917
-87.0,-126.25,433.2342937905196,223.72511291503906,-10.582404778517684
-87.0,-123.75,430.57955606218457,223.60386657714844,-10.76169206510258
-87.0,-121.25,427.9743948682153,223.4851837158203,-10.951548940283828
-87.0,-118.75,425.41881020861183,223.36900329589844,-11.151440532842116
-87.0,-116.25,422.91278774246166,223.2550506591797,-11.360844968010042
-87.0,-113.75,420.45634181067726,223.14320373535156,-11.579254823971041
-87.0,-111.25,418.0494813763289,223.0332794189453,-11.80617517118776
-87.0,-108.75,415.69219209850417,222.92510986328125,-12.041125252977736
-87.0,-106.25,413.3844865255014,222.8185272216797,-12.283638149398257
-87.0,-103.75,411.12636465732066,222.71337890625,-12.53326072122718
-87.0,-101.25,408.9178264939619,222.6095428466797,-12.789551929387244
-87.0,-98.75,407.9742114840883,221.53314208984375,-16.65042313164289
-87.0,-96.25,410.2775143969666,221.61827087402344,-17.07094143804344
-87.0,-93.75,412.6325422921582,221.70562744140625,-17.464169108828642
-87.0,-91.25,415.0392575247679,221.79551696777344,-17.82764328484987
-87.0,-88.75,417.4976932581558,221.88816833496094,-18.158819894889433
-87.0,-86.25,420.00782798095315,221.98387145996094,-18.45506993388568
-87.0,-83.75,422.56967872299356,222.0828857421875,-18.713685070103736
-87.0,-81.25,425.1832212839872,222.185546875,-18.931870975350762
-87.0,-78.75,427.8484673159255,222.2921142578125,-19.10675266080375
-87.0,-76.25,430.56540785573816,222.40289306640625,-19.235372159215558
-87.0,-73.75,433.33405276280246,222.5182342529297,-19.31468849690532
-87.0,-71.25,436.1543850072849,222.6383819580078,-19.34157905222378
