Latitude,Longitude,Precipitation(mm),Surface Temp (K),Evaporation(mm)
-89.0,-178.75,384.22059004551556,225.73573303222656,-6.0537177587285385
-89.0,-176.25,384.22059004551556,225.6268310546875,-6.125849400811845
-89.0,-173.75,384.22059004551556,225.5178985595703,-6.197980930856772
-89.0,-171.25,384.22059004551556,225.40904235839844,-6.270112793515636
-89.0,-168.75,384.22059004551556,225.3001251220703,-6.342244208020986
-89.0,-166.25,384.22059004551556,225.19122314453125,-6.414376182718229
-89.0,-163.75,384.22059004551556,225.0823211669922,-6.486507835305133
-89.0,-161.25,384.22059004551556,224.97340393066406,-6.558639908035957
-89.0,-158.75,384.22059004551556,224.864501953125,-6.630771336546104
-89.0,-156.25,384.22059004551556,224.75559997558594,-6.7029032132097655
-89.0,-153.75,384.22059004551556,224.646728515625,-6.77503486579667
-89.0,-151.25,384.22059004551556,224.53782653808594,-6.847166574402763
-89.0,-148.75,384.22059004551556,224.4289093017578,-6.91929800291291
-89.0,-146.25,384.22059004551556,224.3199920654297,-6.991430215691707
-89.0,-143.75,384.22059004551556,224.21112060546875,-7.063561756240233
-89.0,-141.25,384.22059004551556,224.1022186279297,-7.135692960673623
-89.0,-138.75,384.22059004551556,223.99330139160156,-7.207824613260527
-89.0,-136.25,384.22059004551556,223.8843994140625,-7.279956489924189
-89.0,-133.75,384.22059004551556,223.77552795410156,-7.3520878624151464
-89.0,-131.25,384.22059004551556,223.66661071777344,-7.424219963155565
-89.0,-128.75,384.22059004551556,223.5576934814453,-7.496351447684901
-89.0,-126.25,384.22059004551556,223.44879150390625,-7.568483156290995
-89.0,-123.75,384.22059004551556,223.3398895263672,-7.640614808877899
-89.0,-121.25,384.22059004551556,223.2310028076172,-7.712746909618318
-89.0,-118.75,384.22059004551556,223.12208557128906,-7.7848782821092755
-89.0,-116.25,384.22059004551556,223.01319885253906,-7.857010158772937
-89.0,-113.75,384.22059004551556,222.904296875,-7.929141727331057
-89.0,-111.25,384.22059004551556,222.79541015625,-8.001273575985124
-89.0,-108.75,384.22059004551556,222.6864776611328,-8.073405382624799
-89.0,-106.25,384.22059004551556,222.5775909423828,-8.145537126242886
-89.0,-103.75,384.22059004551556,222.4686737060547,-8.217668814935909
-89.0,-101.25,384.22059004551556,222.3597869873047,-8.289800445421491
-89.0,-98.75,392.64310831822513,220.6945037841797,-14.985161115944834
-89.0,-96.25,392.64310831822513,220.82847595214844,-14.4612192404594
-89.0,-93.75,392.64310831822513,220.96241760253906,-13.93727739298356
-89.0,-91.25,392.64310831822513,221.0963592529297,-13.413335377450153
-89.0,-88.75,392.64310831822513,221.23033142089844,-12.889393698031881
-89.0,-86.25,392.64310831822513,221.3642578125,-12.365451934584826
-89.0,-83.75,392.64310831822513,221.4982452392578,-11.841510059099392
-89.0,-81.25,392.64310831822513,221.63218688964844,-11.31756801555639
-89.0,-78.75,392.64310831822513,221.76612854003906,-10.793626308128523
-89.0,-76.25,392.64310831822513,221.9001007080078,-10.269684544681468
-89.0,-73.75,392.64310831822513,222.0340576171875,-9.74574222104252
-89.0,-71.25,392.64310831822513,222.16802978515625,-9.221800569633842
-89.0,-68.75,392.64310831822513,222.3019561767578,-8.69785852609084
-89.0,-66.25,392.64310831822513,222.43592834472656,-8.173916650605406
-89.0,-63.75,392.64310831822513,222.56988525390625,-7.649974887158351
-89.0,-61.250000000000014,392.64310831822513,222.70384216308594,-7.126032843615349
-89.0,-58.750000000000014,392.64310831822513,222.83778381347656,-6.602091136187482
-89.0,-56.249999999999986,392.64310831822513,222.9717559814453,-6.078149372740427
-89.0,-53.749999999999986,392.64310831822513,223.105712890625,-5.554207077111073
-89.0,-51.25,392.64310831822513,223.2396697998047,-5.030265565750369
-89.0,-48.75,392.64310831822513,223.3736114501953,-4.506323368154597
-89.0,-46.25,392.64310831822513,223.50758361816406,-3.982381961829873
-89.0,-43.75,392.64310831822513,223.64154052734375,-3.458439771236499
-89.0,-41.25,392.64310831822513,223.77549743652344,-2.9344979237606594
-89.0,-38.75,392.64310831822513,223.90943908691406,-2.4105559642464414
-89.0,-36.24999999999997,392.64310831822513,224.0434112548828,-1.88661386468425
-89.0,-33.75,392.64310831822513,224.1773681640625,-1.3626726614290874
-89.0,-31.25,392.64310831822513,224.31129455566406,-0.8387301697325711
-89.0,-28.75,392.64310831822513,224.44529724121094,-0.31478818220875837
-89.0,-26.25,392.64310831822513,224.5792236328125,0.20915369327667577
-89.0,-23.75,392.64310831822513,224.71319580078125,0.7330948965318385
-89.0,-21.25,392.64310831822513,224.84715270996094,1.2570368840556512
-89.0,-18.75,392.64310831822513,224.9810791015625,1.7809795438097353
-89.0,-16.25,392.64310831822513,225.1150665283203,2.304921531333548
-89.0,-13.749999999999972,392.64310831822513,225.24900817871094,2.8288625105119536
-89.0,-11.25,392.64310831822513,225.38294982910156,3.3528048901700913
-89.0,-8.75,858.1689565871784,225.742919921875,-18.52468185734324
