Latitude,Longitude,Precipitation(mm),Surface Temp (K),Evaporation(mm)
-89.0,-178.75,439.61602672334266,225.5657196044922,-10.816304836623658
-89.0,-176.25,439.61602672334266,225.455810546875,-10.814829179139451
-89.0,-173.75,439.61602672334266,225.34593200683594,-10.813354193885516
-89.0,-171.25,439.61602672334266,225.23602294921875,-10.811878200286174
-89.0,-168.75,439.61602672334266,225.1260986328125,-10.810402990955481
-89.0,-166.25,439.61602672334266,225.01622009277344,-10.808927221432896
-89.0,-163.75,439.61602672334266,224.90631103515625,-10.807451900063825
-89.0,-161.25,439.61602672334266,224.79638671875,-10.805976242579618
-89.0,-158.75,439.61602672334266,224.68650817871094,-10.804500809172168
-89.0,-156.25,439.61602672334266,224.5765838623047,-10.803025375764719
-89.0,-153.75,439.61602672334266,224.4666748046875,-10.801549718280512
-89.0,-151.25,439.61602672334266,224.35679626464844,-10.800073948757927
-89.0,-148.75,439.61602672334266,224.2468719482422,-10.798599243599938
-89.0,-146.25,439.61602672334266,224.136962890625,-10.79712291388546
-89.0,-143.75,439.61602672334266,224.0270538330078,-10.795647984650714
-89.0,-141.25,439.61602672334266,223.9171600341797,-10.794172271147318
-89.0,-138.75,439.61602672334266,223.80726623535156,-10.792696893759057
-89.0,-136.25,439.61602672334266,223.69737243652344,-10.791221404332418
-89.0,-133.75,439.61602672334266,223.58746337890625,-10.78974591490578
-89.0,-131.25,439.61602672334266,223.4775848388672,-10.788270313440762
-89.0,-128.75,439.61602672334266,223.36766052246094,-10.786794992071691
-89.0,-126.25,439.61602672334266,223.25775146484375,-10.785318998472349
-89.0,-123.75,439.61602672334266,223.1478729248047,-10.783844097247197
-89.0,-121.25,439.61602672334266,223.0379638671875,-10.782368355734206
-89.0,-118.75,439.61602672334266,222.92803955078125,-10.780892866307568
-89.0,-116.25,439.61602672334266,222.8181610107422,-10.779417390885726
-89.0,-113.75,439.61602672334266,222.70823669433594,-10.7779420278305
-89.0,-111.25,439.61602672334266,222.59832763671875,-10.776466271984475
-89.0,-108.75,439.61602672334266,222.48841857910156,-10.774990908601012
-89.0,-106.25,439.61602672334266,222.37852478027344,-10.773515139078427
-89.0,-103.75,439.61602672334266,222.2686004638672,-10.772040069795707
-89.0,-101.25,439.61602672334266,222.15870666503906,-10.77056404818677
-89.0,-98.75,417.91855243081955,220.4430389404297,-18.288172460412255
-89.0,-96.25,417.91855243081955,220.5758514404297,-17.80529522405594
-89.0,-93.75,417.91855243081955,220.7086181640625,-17.32241815575719
-89.0,-91.25,417.91855243081955,220.84141540527344,-16.839541013933257
-89.0,-88.75,417.91855243081955,220.9741973876953,-16.35666414520287
-89.0,-86.25,417.91855243081955,221.1069793701172,-15.87378645719184
-89.0,-83.75,417.91855243081955,221.2397918701172,-15.390909784528617
-89.0,-81.25,417.91855243081955,221.37257385253906,-14.908032411625527
-89.0,-78.75,417.91855243081955,221.50535583496094,-14.425155626923925
-89.0,-76.25,417.91855243081955,221.63816833496094,-13.942278506107186
-89.0,-73.75,417.91855243081955,221.7709503173828,-13.459401189223286
-89.0,-71.25,417.91855243081955,221.9037628173828,-12.976524124425737
-89.0,-68.75,417.91855243081955,222.03651428222656,-12.493647087637783
-89.0,-66.25,417.91855243081955,222.16932678222656,-12.010769994830639
-89.0,-63.75,417.91855243081955,222.30213928222656,-11.527892621927549
-89.0,-61.250000000000014,417.91855243081955,222.4348907470703,-11.045015571134797
-89.0,-58.750000000000014,417.91855243081955,222.5677032470703,-10.56213860437083
-89.0,-56.249999999999986,417.91855243081955,222.7004852294922,-10.079261315496524
-89.0,-53.749999999999986,417.91855243081955,222.8332977294922,-9.596384138660596
-89.0,-51.25,417.91855243081955,222.966064453125,-9.113507185901426
-89.0,-48.75,417.91855243081955,223.098876953125,-8.630630121103877
-89.0,-46.25,417.91855243081955,223.231689453125,-8.14775288824876
-89.0,-43.75,417.91855243081955,223.36444091796875,-7.664875543355265
-89.0,-41.25,417.91855243081955,223.49725341796875,-7.181999206807177
-89.0,-38.75,417.91855243081955,223.6300506591797,-6.699121861913682
-89.0,-36.24999999999997,417.91855243081955,223.7628173828125,-6.216244404981808
-89.0,-33.75,417.91855243081955,223.89561462402344,-5.733367340184259
-89.0,-31.25,417.91855243081955,224.02842712402344,-5.250490779559414
-89.0,-28.75,417.91855243081955,224.1612091064453,-4.76761332262754
-89.0,-26.25,417.91855243081955,224.2939910888672,-4.284735977734044
-89.0,-23.75,417.91855243081955,224.4268035888672,-3.8018587728885223
-89.0,-21.25,417.91855243081955,224.55958557128906,-3.31898198818692
-89.0,-18.75,417.91855243081955,224.69236755371094,-2.836104447226262
-89.0,-16.25,417.91855243081955,224.8251495361328,-2.3532275679922776
-89.0,-13.749999999999972,417.91855243081955,224.9579620361328,-1.8703507937942732
-89.0,-11.25,417.91855243081955,225.09075927734375,-1.3874732528336153
-89.0,-8.75,911.3102438295755,225.4944305419922,-24.22473822690563
-89.0,-6.25,911.3102438295755,225.5528106689453,-24.235596762480327
-89.0,-3.75,911.3102438295755,225.61122131347656,-24.246455298055025
-89.0,-1.25,911.3102438295755,225.66961669921875,-24.257314393821616
-89.0,1.25,911.3102438295755,225.72801208496094,-24.26817337754983
-89.0,3.75,911.3102438295755,225.7864227294922,-24.27903157700939
-89.0,6.25,911.3102438295755,225.8448486328125,-24.28989011258409
-89.0,8.750000000000028,911.3102438295755,225.90321350097656,-24.300749656504195
-89.0,11.25,911.3102438295755,225.96160888671875,-24.311607968002136
-89.0,13.75,911.3102438295755,226.02001953125,-24.322466391538455
-89.0,16.25,911.3102438295755,226.0784149169922,-24.333325599343425
-89.0,18.75,911.3102438295755,226.13682556152344,-24.344183910841366
-89.0,21.25,911.3102438295755,226.19520568847656,-24.3550427825312
-89.0,23.75,911.3102438295755,226.2536163330078,-24.365901766259412
-89.0,26.25,911.3102438295755,226.31202697753906,-24.376760077757353
-89.0,28.75,911.3102438295755,226.3704071044922,-24.387619285562323
-89.0,31.25000000000003,911.3102438295755,226.42881774902344,-24.398478493367293
-89.0,33.75,911.3102438295755,226.4872283935547,-24.40933635671172
-89.0,36.25,911.3102438295755,226.54559326171875,-24.420194892286418
-89.0,38.75,911.3102438295755,226.60400390625,-24.431053651937873
-89.0,41.25,911.3102438295755,226.6623992919922,-24.441912859742843
-89.0,43.75,911.3102438295755,226.7208251953125,-24.452772067547812
-89.0,46.25,911.3102438295755,226.77919006347656,-24.463630379045753
-89.0,48.75,911.3102438295755,226.83758544921875,-24.474489586850723
-89.0,51.25000000000003,911.3102438295755,226.89601135253906,-24.485348570578935
-89.0,53.75000000000003,911.3102438295755,226.9544219970703,-24.496206433923362
-89.0,56.25,911.3102438295755,227.01280212402344,-24.507066089881846
-89.0,58.75,911.3102438295755,227.0712127685547,-24.517923953226273
-89.0,61.25,911.3102438295755,227.1295928955078,-24.528782712877728
-89.0,63.75,911.3102438295755,227.18800354003906,-24.539641472529183
-89.0,66.25,911.3102438295755,227.2464141845703,-24.55050090441091
-89.0,68.75,911.3102438295755,227.30479431152344,-24.56135943998561
-89.0,71.25,911.3102438295755,227.3632049560547,-24.572217975560307
-89.0,73.75,911.3102438295755,227.421630859375,-24.583076511135005
-89.0,76.25,911.3102438295755,227.47999572753906,-24.59393594301673
-89.0,78.75,911.3102438295755,227.53839111328125,-24.604794254514673
-89.0,81.25,812.8219516802346,229.1832275390625,-0.9965150507014187
-89.0,83.75,812.8219516802346,229.1019287109375,-1.4700077248903654
-89.0,86.25000000000006,812.8219516802346,229.0206298828125,-1.943501743539855
-89.0,88.75,812.8219516802346,228.9393768310547,-2.416996266362048
-89.0,91.25,812.8219516802346,228.85804748535156,-2.8904904530691056
-89.0,93.75,812.8219516802346,228.7767791748047,-3.363983631430756
-89.0,96.25,812.8219516802346,228.69549560546875,-3.83747689382119
-89.0,98.75,812.8219516802346,228.6142120361328,-4.310971528681762
-89.0,101.25,812.8219516802346,228.5329132080078,-4.784465477307265
-89.0,103.75,812.8219516802346,228.45164489746094,-5.257959201856011
-89.0,106.25,812.8219516802346,228.37034606933594,-5.731453052447932
-89.0,108.75,812.8219516802346,228.28904724121094,-6.204946314838367
-89.0,111.25,812.8219516802346,228.207763671875,-6.678440249459072
-89.0,113.75,812.8219516802346,228.12646484375,-7.151935332473158
-89.0,116.25,812.8219516802346,228.04518127441406,-7.625428958988323
-89.0,118.75,812.8219516802346,227.9639129638672,-8.098922641522677
-89.0,121.25,812.8219516802346,227.88258361816406,-8.57241553978838
-89.0,123.75,812.8219516802346,227.8013153076172,-9.04591034270652
-89.0,126.25,812.8219516802346,227.7200469970703,-9.519403913202495
-89.0,128.75,812.8219516802346,227.6387481689453,-9.99289748369847
-89.0,131.25,812.8219516802346,227.5574493408203,-10.466391726424717
-89.0,133.75,812.8219516802346,227.47618103027344,-10.939885408959071
-89.0,136.25,812.8219516802346,227.3948974609375,-11.41337953964694
-89.0,138.75,812.8219516802346,227.3135986328125,-11.8868726619894
-89.0,141.25,812.8219516802346,227.23231506347656,-12.360367240830783
-89.0,143.75,812.8219516802346,227.15101623535156,-12.833860475211623
-89.0,146.25,812.8219516802346,227.06971740722656,-13.307354381822734
-89.0,148.75,812.8219516802346,226.9884490966797,-13.780848848625737
-89.0,151.25,812.8219516802346,226.9071502685547,-14.254342195044956
-89.0,153.75,812.8219516802346,226.82586669921875,-14.727836773886338
-89.0,156.25,812.8219516802346,226.7445831298828,-15.201329896228799
-89.0,158.75,812.8219516802346,226.6632843017578,-15.674824475070182
-89.0,161.25,812.8219516802346,226.5819854736328,-16.148317261297507
-89.0,163.75,812.8219516802346,226.50071716308594,-16.621811391985375
-89.0,166.25,812.8219516802346,226.41941833496094,-17.095305186558107
-89.0,168.75,812.8219516802346,226.338134765625,-17.56879909316922
-89.0,171.25,439.61602672334266,226.0053253173828,-10.8222063461767
-89.0,173.75000000000006,439.61602672334266,225.8954315185547,-10.820731248884385
-89.0,176.25,439.61602672334266,225.78553771972656,-10.819255703438557
-89.0,178.75,439.61602672334266,225.67564392089844,-10.817780494107865
-87.0,-178.75,434.79062966298443,227.9672393798828,-15.10210142566848
-87.0,-176.25,434.8899619931217,227.69073486328125,-15.203437786283303
-87.0,-173.75,434.9913423848193,227.4138946533203,-15.299800091042925
-87.0,-171.25,435.094763667621,227.13671875,-15.390935245250148
-87.0,-168.75,435.2002392861323,226.8591766357422,-15.476578166101262
-87.0,-166.25,435.30775848466874,226.58131408691406,-15.556457720720118
-87.0,-163.75,435.41731947061635,226.3031005859375,-15.630290788124057
-87.0,-161.25,435.5289258292032,226.02452087402344,-15.697785956490407
-87.0,-158.75,435.6425829382715,225.74566650390625,-15.7586402740435
-87.0,-156.25,435.0481539095199,225.4963836669922,-15.63938583961999
